# x_m,y_m,w_tr_right_m,w_tr_left_m
-115.93946740021215,-604.8893638601434,6.6038627881957215,6.6038627881957215
-115.10827999017346,-605.5420326770538,6.602629273510109,6.602629273510109
-114.55375712492382,-605.97947783273,6.599788622309036,6.599788622309036
-113.99684692295853,-606.4139101677383,6.599870516713827,6.599870516713827
-113.44040884597607,-606.8489420284798,6.60017335817922,6.60017335817922
-112.88437020387116,-607.2844850231543,6.601140873374799,6.601140873374799
-112.32685652032782,-607.718131928167,6.599829217724655,6.599829217724655
-111.7699047106569,-608.1525011874924,6.6006098986900055,6.6006098986900055
-111.21377807455613,-608.5879313970696,6.6013432093409135,6.6013432093409135
-110.65835241227819,-609.0242497541706,6.603222165311413,6.603222165311413
-110.1025514435469,-609.4600921987302,6.604437342184271,6.604437342184271
-109.54612343673459,-609.8951424096579,6.60499036043883,6.60499036043883
-108.99266427315725,-610.3339186429018,6.609019209399632,6.609019209399632
-108.43738980439224,-610.770421250157,6.610898943892022,6.610898943892022
-107.88139115252471,-611.206014961539,6.612882230410168,6.612882230410168
-107.32691416573067,-611.643511979712,6.609150424193354,6.609150424193354
-106.7713837750419,-612.0796956502652,6.60989628657772,6.60989628657772
-106.21637690006452,-612.5165500036695,6.610702222125407,6.610702222125407
-105.65969436984165,-612.9512337919764,6.606066507002149,6.606066507002149
-105.10345368885734,-613.3865136569109,6.607321072702925,6.607321072702925
-104.54775925421393,-613.8224943911039,6.608909160245583,6.608909160245583
-103.99383291913955,-614.260700900762,6.607174701843131,6.607174701843131
-103.43944002332944,-614.6983235258676,6.606650475100096,6.606650475100096
-102.88487175351864,-615.1357317973377,6.607080126939053,6.607080126939053
-102.32941596551484,-615.5719852161411,6.603092191747626,6.603092191747626
-101.77357116276546,-616.0077733871765,6.604049351662057,6.604049351662057
-101.21882026779012,-616.4449493872415,6.605346490100563,6.605346490100563
-100.66458401521331,-616.8827789548506,6.606327055000984,6.606327055000984
-100.10928277663533,-617.3192588225604,6.608193947207014,6.608193947207014
-99.55541384298225,-617.7575445191167,6.6103274671201335,6.6103274671201335
-99.00209873134186,-618.1965301367421,6.612253702947736,6.612253702947736
-98.44707637925168,-618.6333644212956,6.614299488806084,6.614299488806084
-97.89227499527917,-619.0704788734242,6.616168671417258,6.616168671417258
-97.33876412649266,-619.5092119442304,6.619990146950526,6.619990146950526
-96.78383140777623,-619.9461608741515,6.6217671748621445,6.6217671748621445
-96.22908432471135,-620.3833434684077,6.6236852332681275,6.6236852332681275
-95.67392780844663,-620.8200061912236,6.625562368810144,6.625562368810144
-95.11932010380517,-621.2573669089682,6.6272133381206615,6.6272133381206615
-94.56478837413121,-621.6948244409082,6.628593965175217,6.628593965175217
-94.01009516980511,-622.1320789282188,6.628196335291286,6.628196335291286
-93.45561180124004,-622.5695970940739,6.629648162699277,6.629648162699277
-92.90109797710633,-623.0070787702767,6.63010557255252,6.63010557255252
-92.34989867196522,-623.4487123144124,6.632717339845233,6.632717339845233
-91.79469418660574,-623.88532045887,6.63400803695116,6.63400803695116
-91.24027941352418,-624.3229272820097,6.635698695697055,6.635698695697055
-90.68341258026595,-624.7573811119875,6.631745401761662,6.631745401761662
-90.12841169454661,-625.1942414625282,6.634607324375657,6.634607324375657
-89.57321288898464,-625.6308526432927,6.635783013450838,6.635783013450838
-89.02278301936947,-626.0734131841398,6.641229733508288,6.641229733508288
-88.4669460275897,-626.5092186696332,6.6429930298412945,6.6429930298412945
-87.9126575529055,-626.9469772043242,6.6447394948968235,6.6447394948968235
-87.35635077648274,-627.382097798732,6.6380162772505855,6.6380162772505855
